Name in English,Number of speakers,Degree of endangerment
Paipai,226,Severely endangered
Garuwahi,225,Definitely endangered
Picuris,225,Vulnerable
Neku,221,Severely endangered
Tiri,221,Definitely endangered
Danisi,220,Critically endangered
Emplawas,220,Definitely endangered
Mixtec of the northeast lowlands,220,Severely endangered
Musom,219,Definitely endangered
Pwaamèi,219,Definitely endangered
"Zapotec of the Valleys, west",211,Definitely endangered
Karo,208,Vulnerable
Cocopa (Mexico),206,Definitely endangered
Korúbo,205,Vulnerable
Aja,200,Critically endangered
Antakirinya,200,Definitely endangered
Bana,200,Severely endangered
Baras,200,Severely endangered
Batak,200,Definitely endangered
Birri,200,Critically endangered
Bonggo,200,Severely endangered
Central Siberian Yupik (Chukotka),200,Severely endangered
Chawte,200,Definitely endangered
Che Wong,200,Definitely endangered
Defaka,200,Critically endangered
Doga,200,Definitely endangered
Dorig,200,Definitely endangered
Dukha,200,Severely endangered
Emae,200,Vulnerable
Erokwanas,200,Vulnerable
Gowro,200,Severely endangered
Hayu,200,Critically endangered
Hidatsa,200,Definitely endangered
Ingrian,200,Severely endangered
Iwaidja,200,Vulnerable
Kadai,200,Definitely endangered
Kao,200,Definitely endangered
Karo,200,Critically endangered
Kelo,200,Critically endangered
Kokota,200,Vulnerable
Koneraw,200,Vulnerable
Koroshi,200,Critically endangered
Magori,200,Vulnerable
Maung,200,Vulnerable
Mehináku,200,Vulnerable
Moghol,200,Critically endangered
Ningalami,200,Severely endangered
Northern Alta,200,Severely endangered
Numbani,200,Vulnerable
Nung Ven,200,Vulnerable
Ongamo,200,Critically endangered
Orejón,200,Severely endangered
Pacific Gulf Yupik,200,Severely endangered
Pipil,200,Critically endangered
Saisiyat,200,Severely endangered
Sauk-Fox,200,Critically endangered
Sepa,200,Vulnerable
Shark Bay,200,Vulnerable
Southern Chocho,200,Severely endangered
Theen,200,Severely endangered
Töitschu,200,Severely endangered
|Xaise,200,Critically endangered
Beaver,195,Definitely endangered
Nootka,185,Severely endangered
Tipai (Mexico),184,Severely endangered
Uru-eu-au-au,183,Vulnerable
Eastern Chocho,181,Severely endangered
Bahonsuai,180,Definitely endangered
Bedoanas,180,Vulnerable
Jarawára,180,Vulnerable
Keder,180,Severely endangered
Straits Salish,180,Severely endangered
Zo'é,177,Vulnerable
Central Ojibwe,175,Definitely endangered
Kuurinji,175,Definitely endangered
Mwatebu,166,Definitely endangered
Zazao,166,Critically endangered
"Zapotec of the Southern mountains, northwest lowlands",164,Definitely endangered
Pije,161,Severely endangered
Aweti,160,Vulnerable
Koro,160,Definitely endangered
Meriam Mir,160,Definitely endangered
Onjab,160,Vulnerable
Tsimshian,160,Critically endangered
Chihuahua Lower Pima,159,Definitely endangered
Sonora Lower Pima,159,Severely endangered
Kaska,155,Severely endangered
Aikana,150,Definitely endangered
Aleut (Eastern),150,Critically endangered
Aleut (Western),150,Severely endangered
Amblong,150,Definitely endangered
Arguni,150,Vulnerable
Assiniboine (United States of America),150,Critically endangered
Baki,150,Vulnerable
Cacua,150,Severely endangered
Camarines Norte Agta,150,Severely endangered
Cubeo (Brazil),150,Definitely endangered
Gwich'in (United States of America),150,Severely endangered
Hiw,150,Definitely endangered
Katxuyana-Xikuyána,150,Vulnerable
Ket,150,Severely endangered
Koyukon,150,Critically endangered
Malmariv,150,Vulnerable
Mt. Iraya Agta,150,Definitely endangered
Ocaina (Peru),150,Critically endangered
Papapana,150,Definitely endangered
Quechan,150,Definitely endangered
Southern Ayta,150,Critically endangered
Tundra Yukagir,150,Critically endangered
Tupari,150,Definitely endangered
Wari,150,Definitely endangered
Yavapai,150,Severely endangered
Mlabri,149,Definitely endangered
Negidal,147,Critically endangered
Suarmin,145,Definitely endangered
Kickapoo (Mexico),144,Critically endangered
Wab,142,Vulnerable
Motocintlec,141,Critically endangered
Dengalu,140,Definitely endangered
Dimbong,140,Critically endangered
Kunbarlang,140,Severely endangered
Machineri (Bolivia),140,Severely endangered
Taworta,140,Vulnerable
ǂHoa,140,Critically endangered
Handuri,138,Critically endangered
Suruahá,136,Vulnerable
Kutenai,135,Severely endangered
Nauna,130,Vulnerable
Okanagan,130,Definitely endangered
Piu,130,Definitely endangered
Ocaina (Colombia),126,Severely endangered
Yuki,125,Severely endangered
Asurini do Xingu,124,Vulnerable
Nahukwa,124,Definitely endangered
Aputai,120,Critically endangered
Budibud,120,Vulnerable
Capanahua,120,Severely endangered
Dâw,120,Vulnerable
Ili Turk,120,Severely endangered
Lamu,120,Critically endangered
Obokuitai,120,Vulnerable
Polonomombauk,120,Definitely endangered
Samre,120,Critically endangered
Tutuba,120,Definitely endangered
Northern Tutchone,115,Definitely endangered
Dubu,110,Vulnerable
Haisla,110,Critically endangered
Heiltsuk,105,Critically endangered
Kwegu,103,Critically endangered
Adnyamathanha,100,Definitely endangered
Ainbai,100,Severely endangered
Arem,100,Severely endangered
Banawá Yafi,100,Vulnerable
Bara (Colombia),100,Critically endangered
Bikaru,100,Severely endangered
Boor,100,Critically endangered
Burate,100,Severely endangered
Callahuaya,100,Critically endangered
Comanche,100,Severely endangered
Dabra,100,Vulnerable
Djinang,100,Definitely endangered
Dulbu,100,Critically endangered
Ghomara,100,Critically endangered
Itelmen,100,Critically endangered
Jebero,100,Critically endangered
Jilbe,100,Critically endangered
Kalamo,100,Severely endangered
Kanowit,100,Severely endangered
Karas,100,Severely endangered
Kiong,100,Critically endangered
Kofei,100,Severely endangered
Likum,100,Definitely endangered
Maricopa,100,Severely endangered
Mohave (Arizona),100,Severely endangered
Mohave (California),100,Severely endangered
Molo,100,Critically endangered
Mulao,100,Severely endangered
Mvanip,100,Critically endangered
Nafi,100,Severely endangered
Nemadi,100,Critically endangered
Ninam (Venezuela),100,Vulnerable
Omagua (Peru),100,Critically endangered
Oroch,100,Critically endangered
Oroha,100,Severely endangered
Pauwi,100,Vulnerable
Piame,100,Severely endangered
Pyu,100,Severely endangered
Ruga,100,Critically endangered
Sahaptin,100,Severely endangered
Samatao,100,Critically endangered
Seneca (United States of America),100,Severely endangered
Senggi,100,Vulnerable
Shawnee,100,Severely endangered
Shiwiar,100,Severely endangered
Shompen,100,Critically endangered
Soo,100,Critically endangered
Tai Nora,100,Critically endangered
Tai Rong,100,Critically endangered
Tangam,100,Critically endangered
Tariana (Brazil),100,Critically endangered
Tirahi,100,Critically endangered
"Ute (Colorado, Southern Ute)",100,Severely endangered
Vehes,100,Severely endangered
Wik Ngathan,100,Definitely endangered
Xokleng,100,Critically endangered
Yangkam,100,Critically endangered
Yarawata,98,Severely endangered
O'odham (Mexico),94,Definitely endangered
Samosa,94,Severely endangered
Mindiri,93,Severely endangered
Usu,93,Severely endangered
Iteri,90,Severely endangered
Ngarinyin,90,Definitely endangered
Repanbitip,90,Definitely endangered
Tofanma,90,Vulnerable
Taiap,89,Severely endangered
Kusunda,87,Critically endangered
Patamona (Brazil),87,Vulnerable
Xiri,87,Critically endangered
Narau,85,Severely endangered
Ak,83,Severely endangered
Araona,81,Severely endangered
Ari,80,Severely endangered
Assiniboine (Canada),80,Critically endangered
Dorro,80,Severely endangered
Gong,80,Severely endangered
Itik,80,Vulnerable
Mari,80,Severely endangered
Pwapwa,80,Severely endangered
Somm,80,Definitely endangered
Tobati,80,Severely endangered
Moré,76,Critically endangered
Mores,75,Severely endangered
Musan,75,Severely endangered
Papi,75,Severely endangered
Sarcee,75,Critically endangered
Sekani,75,Critically endangered
Arawun,73,Severely endangered
Siriano (Brazil),71,Vulnerable
Teko,71,Severely endangered
Anus,70,Severely endangered
Awera,70,Vulnerable
Boruca,70,Critically endangered
Doutai,70,Severely endangered
East Cape Yupik,70,Critically endangered
Iresim,70,Severely endangered
Mafea,70,Definitely endangered
Vilamovian,70,Severely endangered
Western Chocho,70,Severely endangered
Yankunytjatjara,70,Definitely endangered
Yanyuwa,70,Severely endangered
Yapunda,69,Severely endangered
Bothar,68,Severely endangered
Kari'ña (Brazil),66,Definitely endangered
Ritharrngu,66,Definitely endangered
Northern Straits Salish,65,Critically endangered
Sumariup,65,Severely endangered
Ixil (Mexico),64,Critically endangered
Orok,64,Critically endangered
Carapana (Brazil),63,Severely endangered
Yan-nhangu,61,Definitely endangered
Atemble,60,Definitely endangered
Bagupi,60,Definitely endangered
Carapana (Colombia),60,Definitely endangered
Gooniyandi,60,Severely endangered
Gurrgoni,60,Vulnerable
Kija,60,Severely endangered
Montana Salish,60,Critically endangered
Ngangikurunggurr,60,Severely endangered
Olultecan,60,Severely endangered
Senaya,60,Critically endangered
Tahltan,60,Critically endangered
Tembé,60,Severely endangered
Mosimo,58,Severely endangered
Tapayuna,58,Severely endangered
Bepour,57,Severely endangered
Faita,57,Severely endangered
Teribe (Costa Rica),57,Critically endangered
Kiliwa,56,Critically endangered
Moere,56,Severely endangered
Baure,55,Critically endangered
Southern Haida,55,Critically endangered
Tlingit (Canada),55,Critically endangered
Upper Tanana (United States of America),55,Critically endangered
Zapotec of Asunción Tlacolulita,53,Critically endangered
Trumai,51,Critically endangered
Arabela,50,Severely endangered
Arha,50,Critically endangered
Banjima,50,Severely endangered
Bella Coola,50,Critically endangered
Budong-Budong,50,Critically endangered
Bulgebi,50,Definitely endangered
Chiquitano (Brazil),50,Critically endangered
Forest Yukagir,50,Critically endangered
Gorovu,50,Severely endangered
Iduh (Lao PDR),50,Critically endangered
Karaim (Lithuania),50,Severely endangered
Kasong,50,Critically endangered
Kayupulau,50,Critically endangered
Lolak,50,Critically endangered
Maku'a,50,Critically endangered
Makurap,50,Severely endangered
Miriwoong,50,Critically endangered
Moraori,50,Severely endangered
Nakkara,50,Severely endangered
Ngarinman,50,Severely endangered
Norfolk-Pitcairn (Pitcairn),50,Vulnerable
Omaha-Ponca,50,Critically endangered
Omotik,50,Critically endangered
Onge,50,Critically endangered
Patua,50,Critically endangered
Paulohi,50,Critically endangered
Potawatomi (Kansas),50,Critically endangered
Potawatomi (Michigan),50,Critically endangered
Potawatomi (Oklahoma),50,Critically endangered
Potawatomi (Wisconsin),50,Critically endangered
Salas,50,Severely endangered
Samray,50,Critically endangered
Sapé,50,Critically endangered
Sentilese,50,Critically endangered
Sian,50,Severely endangered
Tambotalo,50,Severely endangered
Tanacross,50,Critically endangered
Tanaina,50,Severely endangered
Tanimbili,50,Severely endangered
Warumungu,50,Severely endangered
Zapotec of San Felipe Tejalapan,50,Critically endangered
Tench,49,Critically endangered
Mudburra,48,Severely endangered
Nunggubuyu,44,Severely endangered
Dumun,42,Critically endangered
Kudu-Camo,42,Critically endangered
Asumboa,40,Severely endangered
Bunuba,40,Severely endangered
Chamacoco,40,Critically endangered
Garrwa,40,Severely endangered
Gumbaynggirr,40,Critically endangered
Maremgi,40,Definitely endangered
Mono (Western),40,Critically endangered
Southern Tutchone,40,Critically endangered
Tipai (United States of America),40,Severely endangered
Tofa,40,Critically endangered
Udege,40,Critically endangered
Yoki,40,Severely endangered
Noy,36,Critically endangered
Chulym Turk,35,Critically endangered
Kapori,35,Critically endangered
Kaqchikel (Mexico),35,Critically endangered
Menominee,35,Critically endangered
Quechua of Pacaraos,35,Critically endangered
Turaka,35,Critically endangered
Barasana (Brazil),34,Severely endangered
Bilakura,34,Critically endangered
Macuna (Brazil),32,Vulnerable
Jarawa,31,Critically endangered
Kowaki,31,Critically endangered
Kri,31,Severely endangered
Mawak,31,Critically endangered
Alabat Island Agta,30,Critically endangered
Amahai,30,Critically endangered
Bardi,30,Severely endangered
Cahuilla,30,Critically endangered
Cambap,30,Critically endangered
Carijona,30,Critically endangered
Chintaw,30,Critically endangered
Comox/Sliammon,30,Critically endangered
Djeoromitxi,30,Severely endangered
Duriankere,30,Critically endangered
Goundo,30,Critically endangered
Kawucha,30,Critically endangered
Kwerisa,30,Critically endangered
Mono (Eastern),30,Critically endangered
Ngalkbun,30,Severely endangered
Punan Batu,30,Critically endangered
Rama,30,Critically endangered
Sia Pedee,30,Critically endangered
Ske,30,Severely endangered
Valley Yokuts,30,Severely endangered
Warnman,30,Severely endangered
Wik Ngencherr,30,Severely endangered
Wiradjuri,30,Critically endangered
Malinaltepec Tlapanec,29,Vulnerable
Ahtna,25,Critically endangered
Bieria,25,Critically endangered
Caddo,25,Critically endangered
Columbian,25,Critically endangered
Iquito,25,Critically endangered
Kwazá,25,Critically endangered
Marrithiyel,25,Critically endangered
Massep,25,Critically endangered
Mor,25,Severely endangered
Pisamira,25,Critically endangered
Sakurabiat,25,Severely endangered
Surel,25,Critically endangered
Upper Kuskokwim,25,Critically endangered
Zumaya,25,Critically endangered
Kashaya,24,Critically endangered
Kavalan,24,Critically endangered
Wardaman,24,Severely endangered
Washo,24,Severely endangered
Kuku Yalanji,23,Severely endangered
Sām,23,Severely endangered
Southwestern Tlapanec,23,Vulnerable
Alawa,22,Critically endangered
Tobian,22,Critically endangered
Bara (Brazil),21,Vulnerable
Ixcatec,21,Critically endangered
Añu,20,Critically endangered
Barzani Jewish Neo-Aramaic (Israel),20,Critically endangered
Bom,20,Severely endangered
Bundjalung,20,Severely endangered
Chung (Cambodia),20,Critically endangered
Dusner,20,Critically endangered
Forest Enets,20,Critically endangered
Foya,20,Critically endangered
Hermit,20,Critically endangered
Jawoyn,20,Severely endangered
Kamasa,20,Critically endangered
Kanakanabu,20,Critically endangered
Kembra,20,Critically endangered
Kilen,20,Critically endangered
Kim,20,Critically endangered
Koko Bera,20,Severely endangered
Kulina Páno,20,Severely endangered
Leco,20,Critically endangered
Loun,20,Critically endangered
Mander,20,Critically endangered
Mangarla,20,Critically endangered
Maringarr,20,Critically endangered
Nataoran,20,Critically endangered
Nez Perce,20,Critically endangered
Nisvai,20,Critically endangered
Nyamal,20,Severely endangered
Nyikina,20,Severely endangered
Panamint,20,Critically endangered
Pite Saami,20,Critically endangered
Qawasqar,20,Critically endangered
Red Gelao (Viet Nam),20,Critically endangered
Somyev,20,Critically endangered
Ume Saami,20,Critically endangered
Usku,20,Critically endangered
Vote,20,Critically endangered
Wajarri,20,Severely endangered
Wambaya,20,Critically endangered
Warekena (Brazil),20,Critically endangered
White Gelao (Viet Nam),20,Severely endangered
Mixtec of Tlaltempan,19,Definitely endangered
Uruak,19,Critically endangered
Pacahuara,18,Critically endangered
Ririo,18,Critically endangered
Ava-Canoeiro,16,Critically endangered
Chorotega,16,Critically endangered
Ainu (Hokkaido),15,Critically endangered
Jaminjung,15,Severely endangered
Mwesen,15,Critically endangered
Sechelt,15,Critically endangered
Tanana,15,Critically endangered
Ingalik,14,Critically endangered
Jingulu,14,Severely endangered
Zapotec of Mixtepe,14,Critically endangered
Woria,13,Critically endangered
Aruá,12,Severely endangered
Han (United States of America),12,Critically endangered
Hupa,12,Critically endangered
Karuk,12,Severely endangered
Makah,12,Critically endangered
Ngaatjatjara,12,Severely endangered
Ngaliwuru,12,Critically endangered
Ofayé,12,Critically endangered
Umpila,12,Severely endangered
Yurok,12,Critically endangered
Kinikinau,11,Critically endangered
Wagiman,11,Severely endangered
Achumawi,10,Critically endangered
Arho,10,Critically endangered
Arikara,10,Critically endangered
Ayizi,10,Critically endangered
Bangsa,10,Critically endangered
Ch'orti' (Honduras),10,Critically endangered
Chung (Thailand),10,Critically endangered
Copper Island Aleut,10,Critically endangered
Gros Ventre,10,Critically endangered
Gweno,10,Critically endangered
Hoti,10,Critically endangered
Hulung,10,Critically endangered
Ibu,10,Critically endangered
Iranxe,10,Critically endangered
Kamarian,10,Critically endangered
Karajarri,10,Critically endangered
Karipuna,10,Definitely endangered
Katawixi,10,Critically endangered
Kawaiisu,10,Critically endangered
Khövsgöl Uryangkhay,10,Critically endangered
Krenak,10,Critically endangered
Kurrama,10,Critically endangered
Lardil,10,Critically endangered
Lom,10,Critically endangered
Lorediakarkar,10,Critically endangered
Madngele,10,Critically endangered
Malak Malak,10,Critically endangered
Manchu (Amur),10,Critically endangered
Manchu (Nonni),10,Critically endangered
Mandan,10,Critically endangered
Marrisyefin,10,Critically endangered
Massalat,10,Critically endangered
Matanvat,10,Critically endangered
Matipu,10,Critically endangered
Mawayana (Brazil),10,Critically endangered
Munsee (Canada),10,Critically endangered
Naati,10,Critically endangered
Ngardi,10,Critically endangered
Ngbinda,10,Critically endangered
Northern Paiute (Idaho),10,Critically endangered
Nusa Laut,10,Critically endangered
Oneida (Wisconsin),10,Critically endangered
Onondaga (New York),10,Critically endangered
Osage,10,Critically endangered
Parintintin,10,Critically endangered
Pawnee,10,Critically endangered
Puari,10,Critically endangered
Rembarrnga,10,Critically endangered
Sene,10,Critically endangered
Sowa,10,Critically endangered
Susuami,10,Critically endangered
Taap,10,Critically endangered
Tape,10,Critically endangered
Ter Saami,10,Critically endangered
Thao,10,Critically endangered
Tule-Kaweah Yokuts,10,Critically endangered
Tundra Enets,10,Critically endangered
Wichita,10,Critically endangered
Xambioá,10,Critically endangered
Yawalapiti,10,Critically endangered
Yiiji,10,Critically endangered
Arára Shawãdáwa,9,Critically endangered
Kuuku Ya'u,9,Critically endangered
Ngandi,9,Critically endangered
Ngarluma,9,Critically endangered
Zaparo,9,Critically endangered
Ongota,8,Critically endangered
Ajuru,8,Severely endangered
Araki,8,Critically endangered
Ayapanec,8,Critically endangered
Busuu,8,Critically endangered
Chamicuro,8,Critically endangered
Dumi,8,Critically endangered
Kayardild,8,Critically endangered
Munichi,8,Critically endangered
N|uu,8,Critically endangered
Xetá,8,Critically endangered
Kiksht,7,Critically endangered
Makolkol,7,Critically endangered
Akuntsu,6,Critically endangered
Anambé,6,Critically endangered
Arabana,6,Critically endangered
Ipai,6,Critically endangered
Karaim (Western Ukraine),6,Critically endangered
Kings River Yokuts,6,Critically endangered
Korana,6,Critically endangered
Mangarrayi,6,Critically endangered
Northern Sierra Miwok,6,Critically endangered
Abaga,5,Critically endangered
"Aleut (Western, Commander Islands)",5,Critically endangered
Aqaw Gelao,5,Critically endangered
Aveteian,5,Critically endangered
Central Selkup,5,Critically endangered
Cocama-Cocamilla (Brazil),5,Critically endangered
Dyirbal,5,Critically endangered
Gamilaraay,5,Critically endangered
Great andamanese,5,Critically endangered
Guató,5,Critically endangered
Holikachuk,5,Critically endangered
Iduh (Viet Nam),5,Critically endangered
Isarog Agta,5,Critically endangered
Itonama,5,Critically endangered
Juma,5,Critically endangered
Kalispel,5,Critically endangered
Kanoê,5,Critically endangered
Liki,5,Critically endangered
Luiseño,5,Critically endangered
Lushootseed,5,Critically endangered
Manchurian Kirghiz,5,Critically endangered
Mansim,5,Critically endangered
Naman,5,Critically endangered
Nasarian,5,Critically endangered
Navwien,5,Critically endangered
Ndai,5,Critically endangered
Ngalakan,5,Critically endangered
Nivat,5,Critically endangered
Niviar,5,Critically endangered
Olrat,5,Critically endangered
Oro Win,5,Critically endangered
Paunaca,5,Critically endangered
Resígaro,5,Critically endangered
Sorsorian,5,Critically endangered
Southern Selkup,5,Critically endangered
Tuzantec,5,Critically endangered
Umbrul,5,Critically endangered
Vano,5,Critically endangered
Wunambal,5,Critically endangered
Yuchi,5,Critically endangered
Bonerif,4,Critically endangered
Coeur d'Alene,4,Critically endangered
Dharawal,4,Critically endangered
Guranalum,4,Critically endangered
Lengilu,4,Critically endangered
Njerep,4,Critically endangered
Ouma,4,Critically endangered
Paakantyi,4,Critically endangered
Saponi,4,Critically endangered
Tanema,4,Critically endangered
Tehuelche,4,Critically endangered
Totoró,4,Critically endangered
Waanyi,4,Critically endangered
Worrorra,4,Critically endangered
Awakatek (Mexico),3,Critically endangered
Baldemu,3,Critically endangered
Bung,3,Critically endangered
Canichana,3,Extinct
Central Pomo,3,Critically endangered
Central Sierra Miwok,3,Critically endangered
Chemehuevi,3,Critically endangered
Kiowa Apache,3,Critically endangered
Konkow,3,Critically endangered
Lake Miwok,3,Critically endangered
Mabiri,3,Critically endangered
Mescalero-Chiricahua Apache (Oklahoma),3,Critically endangered
Northern Pomo,3,Critically endangered
Sabanê,3,Critically endangered
Southern Pomo,3,Critically endangered
Southern Sierra Miwok,3,Critically endangered
Tubatulabal,3,Critically endangered
Tuscarora (United States of America),3,Critically endangered
Ura,3,Critically endangered
Andoa (Peru),2,Critically endangered
Arikapu,2,Critically endangered
Aurê-Aurá,2,Critically endangered
Baré (Brazil),2,Critically endangered
Cayuvava,2,Critically endangered
Gajerrong,2,Critically endangered
Ganggalidda,2,Critically endangered
Guarasu,2,Critically endangered
Klallam,2,Critically endangered
Kujubim,2,Critically endangered
Kunjen,2,Critically endangered
Kuruáya,2,Critically endangered
Lemerig,2,Critically endangered
Luri,2,Critically endangered
Maidu,2,Critically endangered
Oneida (New York),2,Critically endangered
Poyanawa,2,Critically endangered
Puruborá,2,Critically endangered
Salamãy,2,Critically endangered
Sambe,2,Critically endangered
Spokane,2,Critically endangered
Tharkarri,2,Critically endangered
Vacacocha,2,Critically endangered
Wangaaybuwan,2,Critically endangered
Xipáya,2,Critically endangered
Apiaká,1,Critically endangered
Bikya,1,Critically endangered
Bishuo,1,Critically endangered
Chaná,1,Critically endangered
Dampel,1,Critically endangered
Diahói,1,Critically endangered
Kaixána,1,Critically endangered
Lae,1,Extinct
Laua,1,Critically endangered
Patwin,1,Critically endangered
Pazeh,1,Critically endangered
Pémono,1,Critically endangered
Taushiro,1,Critically endangered
Tinigua,1,Critically endangered
Tolowa,1,Critically endangered
Uru,1,Extinct
Volow,1,Critically endangered
Wintu-Nomlaki,1,Critically endangered
Yahgan,1,Critically endangered
Yarawi,1,Critically endangered
!Gan!ne,0,Extinct
Aasax,0,Extinct
Ahom,0,Extinct
Ainu (Kuril),0,Extinct
Ainu (Sakhalin),0,Extinct
Akkala Saami,0,Extinct
Alderney French,0,Extinct
Amanayé,0,Extinct
Andoa (Ecuador),0,Extinct
Andro,0,Extinct
Antoniano,0,Extinct
Aore,0,Extinct
Apolista,0,Extinct
Arapaho (Oklahoma),0,Extinct
Arapáso,0,Extinct
Aribwatsa,0,Extinct
Arin,0,Extinct
Arman,0,Extinct
Arta,0,Extinct
Atacameño,0,Extinct
Atsugewi,0,Extinct
Babuza,0,Extinct
Badala,0,Critically endangered
Baga Kalem,0,Extinct
Baga Mboteni,0,Critically endangered
Barbareño,0,Extinct
Barzani Jewish Neo-Aramaic (Iraq),0,Extinct
Basay,0,Extinct
Baygo,0,Extinct
Berakou,0,Extinct
Berti,0,Extinct
Bina,0,Extinct
Birgid,0,Extinct
Boro,0,Extinct
Cacaopera,0,Extinct
Cape Khoekhoe,0,Extinct
Cappadocian Greek (Turkey),0,Extinct
Catawba,0,Extinct
Cayuga (Oklahoma),0,Extinct
Cayuse,0,Extinct
Central Kalapuyan,0,Extinct
Chairel,0,Extinct
Cholon,0,Extinct
Coptic,0,Extinct
Cowlitz,0,Extinct
Culle,0,Extinct
Cuman,0,Extinct
Cupeño,0,Extinct
Dalmatian,0,Extinct
Deti,0,Extinct
Dharug,0,Critically endangered
Dhurga,0,Critically endangered
Dicamay Agta,0,Extinct
Dorasque,0,Extinct
Dororo,0,Extinct
Duli,0,Extinct
Dungidjau,0,Extinct
Dura,0,Extinct
Eastern Abenaki,0,Extinct
Eastern Kamchadal,0,Extinct
Eastern Pomo,0,Extinct
Eel River Athabaskan,0,Extinct
Eliri,0,Severely endangered
Elmolo,0,Extinct
Eotile,0,Extinct
Eyak,0,Extinct
Gaagudju,0,Extinct
Gafat,0,Extinct
Garífuna (Nicaragua),0,Critically endangered
Ge'ez,0,Extinct
Getmata,0,Extinct
Gey,0,Extinct
Gothic,0,Extinct
Guanche,0,Extinct
Gule,0,Extinct
Guliguli,0,Extinct
Gününa Küne,0,Extinct
Gyasumdo,0,Definitely endangered
Hanis,0,Extinct
Hoanya,0,Extinct
Homa,0,Extinct
Horo,0,Extinct
Hpun,0,Extinct
Huitoto (Brazil),0,Extinct
Hukumina,0,Extinct
Huron-Wyandot (United States of America),0,Extinct
Ifo,0,Extinct
Ineseño,0,Extinct
Island Carib,0,Extinct
Island Chumash,0,Extinct
Jorá,0,Critically endangered
Judeo-Berber (Morocco),0,Extinct
Kamas,0,Extinct
Kamas Turk,0,Extinct
Kaniet,0,Extinct
Kansa,0,Extinct
Karaim (Crimea),0,Extinct
Karami,0,Extinct
Karelian (Valday),0,Extinct
Katabaga,0,Extinct
Kato,0,Extinct
Kayeli,0,Extinct
Kazukuru,0,Extinct
Kede,0,Extinct
Kemi Saami,0,Extinct
Kenaboi,0,Extinct
Kerek,0,Extinct
Ketangalan,0,Extinct
Khaccaḍ Bhoṭe,0,Definitely endangered
Kilit,0,Extinct
Kinare,0,Extinct
Klamath-Modoc,0,Extinct
Konomihu,0,Extinct
Kore,0,Extinct
Kott,0,Extinct
Krenjê,0,Extinct
Krevin,0,Extinct
Kulun,0,Extinct
Kurtjar,0,Extinct
Kw'adza,0,Extinct
Kwadi,0,Extinct
Kwisi,0,Extinct
Kyakala,0,Extinct
Laghu,0,Extinct
Langthang Tibetan,0,Definitely endangered
Lenca,0,Extinct
Li-Ngbee,0,Extinct
Liliali,0,Extinct
Lipan,0,Extinct
Lishan Didan (Iran),0,Extinct
Lishana Deni (Iraq),0,Extinct
Lishanid Noshan (Iraq),0,Extinct
Loke Tibetan,0,Definitely endangered
Lorkoti,0,Extinct
Lower Chehalis,0,Extinct
Mahigi,0,Extinct
Máku,0,Extinct
Malin,0,Extinct
Mapia,0,Extinct
Maragus,0,Extinct
Marrgu,0,Extinct
Matagalpa,0,Extinct
Mator,0,Extinct
Mattole,0,Extinct
Miami-Illinois,0,Extinct
Migueleño,0,Extinct
Miraña (Brazil),0,Critically endangered
Mirití Tapuia,0,Critically endangered
Mlahso (Syria),0,Extinct
Mlahso (Turkey),0,Extinct
Mo-peng,0,Extinct
Mochica,0,Extinct
Moksela,0,Extinct
Molala,0,Extinct
Mozarabic,0,Extinct
Mulaha,0,Extinct
Múra,0,Extinct
Nagumi,0,Extinct
Naka'ela,0,Extinct
Napore,0,Extinct
Natchez,0,Extinct
New River Shasta,0,Extinct
Ngarla,0,Extinct
Ngong,0,Extinct
Nila (Nila Island),0,Extinct
Nisenan,0,Extinct
Nooksack,0,Extinct
Norn,0,Extinct
Northeastern Pomo,0,Extinct
Nukiní,0,Extinct
Nupbikha,0,Vulnerable
Nyang'i,0,Extinct
Obispeño,0,Extinct
Odut,0,Extinct
Old Prussian,0,Extinct
Old Sirenik,0,Extinct
Omagua (Brazil),0,Critically endangered
Ona,0,Extinct
Ongkor Solon,0,Extinct
Opon-Carare,0,Extinct
Orang Kanaq,0,Extinct
Palumata,0,Extinct
Panobo,0,Extinct
Papora,0,Extinct
Pentlatch,0,Extinct
Phalok,0,Extinct
Pijao,0,Extinct
Piru,0,Extinct
Polabian,0,Extinct
Pumpokol,0,Extinct
Purisimeño,0,Extinct
Pyu,0,Extinct
Quapaw,0,Extinct
Quileute,0,Extinct
Qwarenya,0,Extinct
Rangkas,0,Extinct
Sanhaja of Srair,0,Critically endangered
Sei,0,Extinct
Sened,0,Extinct
Sengmai,0,Extinct
Serrano,0,Extinct
Seru,0,Extinct
Seward Peninsula Inupiaq (Big Diomede Island),0,Extinct
Singa,0,Extinct
Siraiya,0,Extinct
Sishee,0,Extinct
Siuslaw,0,Extinct
Slovincian,0,Extinct
Southeastern Pomo,0,Extinct
Southern Kamchadal,0,Extinct
Southern Khanty,0,Extinct
Southern Mansi,0,Extinct
Soyot,0,Extinct
Subtiaba,0,Extinct
Taman,0,Extinct
Tandia,0,Extinct
Taokas,0,Extinct
Te'un (Te'un Island),0,Extinct
Tetete,0,Extinct
Tillamook,0,Extinct
Togoyo,0,Extinct
Tonjon,0,Extinct
Torá,0,Extinct
Tsetsaut,0,Extinct
Tunica,0,Extinct
Tututni,0,Extinct
Twana,0,Extinct
Ubykh (Caucasus),0,Extinct
Ubykh (Turkey),0,Extinct
Umutina,0,Extinct
Upper Chehalis,0,Extinct
